index,smiles,name,opsin_smiles,std_original,std_opsin
52088,CCOC(=O)[C@H]1C(=O)N[C@H](c2ccc(F)cc2)[C@@]2(C(=O)N(C)c3ccccc32)[C@@H]1C(=O)OCC,"diethyl (3R,4R,5R,6R)-6-(4-fluorophenyl)-2-oxo-7'-methyl-7-azaspiro[piperidine-5,9'-bicyclo[4.3.0]nona-1,3,5-triene]-8'-one-3,4-dicarboxylate",,CCOC(=O)C1C(=O)N[C@H](c2ccc(F)cc2)[C@@]2(C(=O)N(C)c3ccccc32)C1C(=O)OCC,
52192,CC(C)(C)OC(=O)N1CCC2(CC1)Oc1cccnc1/C2=N\[S@@](=O)C(C)(C)C,"tert-butyl spiro[piperidine-4,8'-bicyclo[4.3.0]nona-1,3,5-trien-9-imine]-1-carboxylate",,CC(C)(C)OC(=O)N1CCC2(CC1)Oc1cccnc1/C2=N\[S@@+]([O-])C(C)(C)C,
52193,CC12CC[C@H]3C(C(O)CC4CCCCC43C)[C@@H]1CCC2CCCC(=O)O,"4-((2S,9S)-11-hydroxy-1,5-dimethylgonan-6-yl)butanoic acid",,CC12CC[C@H]3C(C(O)CC4CCCCC43C)[C@@H]1CCC2CCCC(=O)O,
52327,C=C1CC[C@H](O)C/C1=C/C=C1\C[C@H](O)C[C@]2(C)[C@@H]([C@@H](C)O)CC[C@@H]12,"(1S,3R,5E,6R,9S)-5-((2Z)-2-((5S)-5-hydroxy-2-methylidenecyclohexylidene)ethylidene)-9-((1R)-1-hydroxyethyl)-1-methylbicyclo[4.3.0]nonan-3-ol",O[C@H]1CCC(\C(\C1)=C/C=C/1\C[C@H](C[C@@]2([C@H](CC[C@H]12)[C@@H](C)O)C)O)=C,C=C1CC[C@H](O)C/C1=C/C=C1\C[C@H](O)C[C@]2(C)[C@@H]([C@@H](C)O)CC[C@@H]12,C=C1CC[C@H](O)C/C1=C/C=C1\C[C@@H](O)C[C@@]2(C)[C@@H]1CC[C@@H]2[C@@H](C)O
52333,CCCCCCCCCCSc1c2cc3ccccc3cc2c(C)c2cc3ccccc3cc12,,,CCCCCCCCCCSc1c2cc3ccccc3cc2c(C)c2cc3ccccc3cc12,
52499,CN(C)CCN1C(=O)C(=O)C(=C(O)c2ccc3c(c2)OCCO3)[C@@]12C(=O)N(C)c1ccccc12,"(5S)-1-(2-(dimethylamino)ethyl)-4-((2,5-dioxabicyclo[4.4.0]deca-1(6),7,9-trien-8-yl)(hydroxy)methylidene)-7'-methyl-7-azaspiro[pyrrolidine-5,9'-bicyclo[4.3.0]nona-1,3,5-triene]-8'-one-2,3-dione",,CN(C)CCN1C(=O)C(=O)C(C(=O)c2ccc3c(c2)OCCO3)[C@@]12C(=O)N(C)c1ccccc12,
52749,Cc1ccc(Cn2ccccc2=NC(=O)c2[nH]c3c(c2C)C(=O)CCC3)cc1,"9-methyl-N-(1-((4-methylphenyl)methyl)-1-azacyclohexa-3,5-dien-2-ylidene)-2-oxo-7-azabicyclo[4.3.0]nona-1(6),8-diene-8-carboxamide",CC1=C(NC=2CCCC(C12)=O)C(=O)N=C1N(C=CC=C1)CC1=CC=C(C=C1)C,Cc1ccc(Cn2ccccc2=NC(O)c2[nH]c3cccc(O)c3c2C)cc1,Cc1ccc(Cn2ccccc2=NC(=O)c2[nH]c3c(c2C)C(=O)CCC3)cc1
52796,CN(C)CC(=O)N1CCC[C@@H](CNC(/N=C(\N)c2c[nH]c3ncc(Cl)cc23)=C(\F)CI)C1,"1-((3S)-3-((((1E)-1-(((1Z)-(amino)(4-chloro-2,9-diazabicyclo[4.3.0]nona-1(6),2,4,7-tetraen-7-yl)methylidene)amino)-2-fluoro-3-iodoprop-1-en-1-yl)amino)methyl)piperidin-1-yl)-2-(dimethylamino)ethan-1-one",N\C(\C=1C=2C=C(C=NC2NC1)Cl)=N/C(=C(\CI)/F)/NC[C@H]1CN(CCC1)C(CN(C)C)=O,CN(C)CC(=O)N1CCC[C@@H](CNC(N=C(N)c2c[nH]c3ncc(Cl)cc23)=C(F)CI)C1,CN(C)CC(=O)N1CCC[C@@H](CN/C(N=C(N)c2c[nH]c3ncc(Cl)cc23)=C(\F)CI)C1
52858,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3[C@H](O)[C@@H](O)[C@]12C,"(4R)-4-((1S,2S,5R,7R,10S,11S,14R,15R,16S,17S)-5,16,17-trihydroxy-2,15-dimethylgonan-14-yl)pentanoic acid",,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3[C@H](O)[C@@H](O)[C@]12C,
52892,CC1=C2CC3C4(C)CCC(O)CC4=CCC3(C)C2CCC12OC1CC(C)CNC1C2C,"2,10,15-trimethyl-4',9'-dimethyl-7-oxa-2-azaspiro[tetracyclo[8.7.0.0^{11,16}.0^{2,7}]heptadeca-7,15-diene-14,8'-bicyclo[4.3.0]nonane]-5-ol",,CC1=C2CC3C4(C)CCC(O)CC4=CCC3(C)C2CCC12OC1CC(C)CNC1C2C,
53084,CC(C(=O)OC(=O)OCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,2-(3-fluoro-4-phenylphenyl)propanoic benzyl hydrogen carbonate anhydride,,CC(C(=O)OC(=O)OCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,
53090,C=C(CP(C)(CC)(CCC)CCC)C(C)C,2-(((ethyl)(methyl)dipropylphosphanyl)methyl)-3-methylbut-1-ene,C(C)C(CCP(CCC)CC(=C)C(C)C)C,C=C(CP(C)(CC)(CCC)CCC)C(C)C,C=C(CP(CCC)CCC(C)CC)C(C)C
