index,smiles,name,opsin_smiles,std_original,std_opsin
43671,CC[C@@H](F)C(=O)N(C)CCN(C)C(=O)[C@@H](C)c1ccc(S(C)(=O)=O)cc1,(2R)-2-fluoro-N-methyl-N-(2-(((1S)-1-(4-(methylsulfonyl)phenyl)propionyl)(methyl)amino)ethyl)butanamide,,CCC(F)C(=O)N(C)CCN(C)C(=O)C(C)c1ccc(S(C)(=O)=O)cc1,
43719,CCc1c(C(=O)NC2CC(NC(=O)[C@H](OC)C3CCCCC3)C2)nnn1C,"N-(3-((1R)-(cyclohexyl)(methoxy)methylcarbonylamino)cyclobutyl)-5-ethyl-1-methyl-1H-1,2,3-triazole-4-carboxamide",,CCc1c(C(=O)NC2CC(NC(=O)C(OC)C3CCCCC3)C2)nnn1C,
43732,CC[C@H](CCC(=O)Nc1ccc(C)cc1O)NC(=O)[C@@H]1[C@H]2CN(C)C[C@H]21,"(4R)-N-(2-hydroxy-4-methylphenyl)-4-((1R,5S,6R)-3-methyl-3-azabicyclo[3.1.0]hexan-6-ylcarbonylamino)hexanamide",,CC[C@H](CCC(=O)Nc1ccc(C)cc1O)NC(=O)C1[C@H]2CN(C)C[C@@H]12,
43737,CCOC1(CC(=O)NCCN(C)C(=O)[C@@H](O)c2ccnn2C)CC1,2-(1-ethoxycyclopropyl)-N-(2-(((1S)-(hydroxy)(1-methyl-1H-pyrazol-5-yl)acetyl)(methyl)amino)ethyl)acetamide,,CCOC1(CC(=O)NCCN(C)C(=O)C(O)c2ccnn2C)CC1,
43740,C#CCOCCN(C)C(=O)C1(NC(=O)[C@@H]2[C@H]3CCC[C@H]32)CSC1,"3-((1R,5S,6R)-bicyclo[3.1.0]hexan-6-ylcarbonylamino)-N-methyl-N-(2-((prop-2-yn-1-yl)oxy)ethyl)-1-thiacyclobutane-3-carboxamide",,C#CCOCCN(C)C(=O)C1(NC(=O)C2[C@H]3CCC[C@@H]23)CSC1,
43812,C[C@@H](NC(=O)C1CCOCC1)C(=O)N[C@H]1C[C@](F)(CNC(=O)C[C@@H]2CCOC2)C1,N-((2R)-1-((3-fluoro-3-(((3S)-oxolan-3-yl)methylcarbonylaminomethyl)cyclobutyl)amino)-1-oxopropan-2-yl)oxane-4-carboxamide,FC1(CC(C1)NC([C@@H](C)NC(=O)C1CCOCC1)=O)CNC(=O)C[C@H]1COCC1,CC(NC(=O)C1CCOCC1)C(=O)N[C@H]1C[C@](F)(CNC(=O)C[C@@H]2CCOC2)C1,CC(NC(=O)C1CCOCC1)C(=O)NC1CC(F)(CNC(=O)C[C@@H]2CCOC2)C1
43839,CN(C[C@H](O)CNC(=O)[C@@H](O)CC1CCCCC1)C(=O)CCc1cnn(C)c1,(2S)-3-cyclohexyl-2-hydroxy-N-((2R)-2-hydroxy-3-((2-(1-methyl-1H-pyrazol-4-yl)propionyl)(methyl)amino)propyl)propanamide,C1(CCCCC1)C[C@@H](C(=O)NC[C@H](CN(C)C(C(C)C=1C=NN(C1)C)=O)O)O,CN(C[C@H](O)CNC(=O)C(O)CC1CCCCC1)C(=O)CCc1cnn(C)c1,CC(C(=O)N(C)C[C@H](O)CNC(=O)C(O)CC1CCCCC1)c1cnn(C)c1
43853,Cc1cccc(C)c1[C@H](O)C(=O)N[C@@H]1C[C@@]2(NC(=O)C(=O)NC(C)C)CO[C@@H]1C2,"N-((1R,4S,6R)-6-((1S)-(2,6-dimethylphenyl)(hydroxy)methylcarbonylamino)-2-oxabicyclo[2.2.1]heptan-4-yl)-N'-(propan-2-yl)ethanediamide",,Cc1cccc(C)c1C(O)C(=O)N[C@@H]1C[C@@]2(NC(=O)C(=O)NC(C)C)CO[C@@H]1C2,
43937,COC(=O)CCCC(=O)N1C[C@H]2[C@@H](C1)[C@@H]2C(=O)Nc1cncc2ccccc12,"methyl 5-((1R,5S,6R)-6-((isoquinolin-4-yl)carbamoyl)-3-azabicyclo[3.1.0]hexan-3-yl)-5-oxopentanoate",,COC(=O)CCCC(=O)N1C[C@@H]2C(C(=O)Nc3cncc4ccccc34)[C@@H]2C1,
43949,Cc1onc(CO)c1C(=O)N(C)C[C@H](O)CN(C)C(=O)[C@@H](C)OCC(F)(F)F,"N-((2S)-2-hydroxy-3-(((1R)-1-((2,2,2-trifluoroethyl)oxy)propionyl)(methyl)amino)propyl)-3-(hydroxymethyl)-5,N-dimethylisoxazole-4-carboxamide",,Cc1onc(CO)c1C(=O)N(C)C[C@H](O)CN(C)C(=O)C(C)OCC(F)(F)F,
43957,CC(C)NC(=O)C(=O)N[C@H]1C[C@@](F)(CNC(=O)c2cc(Cn3cccn3)on2)C1,N'-(3-fluoro-3-(5-(1H-pyrazol-1-ylmethyl)isoxazol-3-ylcarbonylaminomethyl)cyclobutyl)-N-(propan-2-yl)ethanediamide,FC1(CC(C1)NC(C(=O)NC(C)C)=O)CNC(=O)C1=NOC(=C1)CN1N=CC=C1,CC(C)NC(=O)C(=O)N[C@H]1C[C@@](F)(CNC(=O)c2cc(Cn3cccn3)on2)C1,CC(C)NC(=O)C(=O)NC1CC(F)(CNC(=O)c2cc(Cn3cccn3)on2)C1
